Time,I
0.0,0.013607690117341465
1.0,0.2204875885866026
2.0,0.20917416537877845
3.0,0.36375402740902546
4.0,0.1628620758395847
5.0,0.3867457448942148
6.0,0.4062600629397176
7.0,0.059427323008370836
8.0,0.10671027894548495
9.0,0.054968552102005144
10.0,0.10219492087556126
11.0,0.18126402325744734
12.0,0.11926416684358489
13.0,0.17363075003182166
14.0,0.1453986446454912
15.0,0.1478215364964696
16.0,0.21168910487485512
17.0,0.06599724046170134
18.0,0.4834340868094487
19.0,0.2950815069391374
20.0,0.25721597404108215
21.0,0.034567647770091914
22.0,0.17910298146980708
23.0,0.17217476256805006
24.0,0.040646491440816473
25.0,0.10636376829248745
26.0,0.06269610339987466
27.0,0.1308519545683661
28.0,0.28628652928789466
29.0,0.06438215034514855
30.0,0.04251853496983471
31.0,0.10720224091492658
32.0,0.05501501186822103
33.0,0.08150175802653131
34.0,0.17691791558221295
35.0,0.06810568821047563
36.0,0.031891819347968545
37.0,0.10726614616067956
38.0,0.1196518748438371
39.0,0.27105191889818414
40.0,0.011970081505983861
41.0,0.17589110297744276
42.0,0.09183016762316498
43.0,0.09729382566591672
44.0,0.08547975093448475
45.0,0.19647908115870316
46.0,0.31464480641426795
47.0,0.18479280253271924
48.0,0.23865676082190326
49.0,0.015804066250976072
50.0,0.1530692227743139
51.0,0.15924234657934197
52.0,0.030299443790054774
53.0,0.41618049949137415
54.0,0.25856540830032465
55.0,0.08098091637602968
56.0,0.12947387082410583
57.0,0.09728142240283678
58.0,0.09384605772699314
59.0,0.12167180378100252
60.0,0.1587477739182729
61.0,0.03621941105566499
62.0,0.10493790829467368
63.0,0.291493508432242
64.0,0.11360363438445037
65.0,0.2831644007523257
66.0,0.14655538515154246
67.0,0.22327537967754393
68.0,0.005519320731430638
69.0,0.1512159100356613
70.0,0.13631967550677976
71.0,0.20835621825702016
72.0,0.18414101828204868
73.0,0.19080655721231474
74.0,0.0425764060163423
75.0,0.13685755388081994
76.0,0.13292483479120004
77.0,0.18595939687096835
78.0,0.3729392606426477
79.0,0.08322307799128723
80.0,0.34076477987263104
81.0,0.14912116617806304
82.0,0.03401164039543608
83.0,0.3933055226896367
84.0,0.12238216774204223
85.0,0.03862747499093118
86.0,0.058485941208869546
87.0,0.18135946355150556
88.0,0.2886750073573303
89.0,0.13242982361021177
90.0,0.1788113475187513
91.0,0.11498023120402213
92.0,0.14312781504276195
93.0,0.07450584152898834
94.0,0.16466585926556612
95.0,0.2060479527528868
96.0,0.21732834135268064
97.0,0.20867281583651479
98.0,0.09842402412972509
99.0,0.35239753114832584
100.0,0.10418174879064626
101.0,0.17278605172696998
102.0,0.1539547801818254
103.0,0.1011212799624304
104.0,0.13456418354905242
105.0,0.22895442303748487
106.0,0.06960825058629445
107.0,0.31928889971512514
108.0,0.02261538963516
109.0,0.1492851426206234
110.0,0.3164471134895622
111.0,0.14764599059759959
112.0,0.09332637546342992
113.0,0.13800293146700532
114.0,0.2915629785398297
115.0,0.19033984740063242
116.0,0.11129756258586052
117.0,0.04843327616953805
118.0,0.06251679063239284
119.0,0.029297675959323085
120.0,0.07539996285553946
121.0,0.3016936777463771
122.0,0.14551683313901537
123.0,0.14200032800661339
124.0,0.2650457893554033
125.0,0.46550697324046375
126.0,0.10426505816762136
127.0,0.3143875921937726
128.0,0.015363191799250973
129.0,0.06500488223389986
130.0,0.19684063957539275
131.0,0.2276694336056777
132.0,0.14179290310778417
133.0,0.13113077630330983
134.0,0.17875992903730897
135.0,0.17311957374436046
136.0,0.1011755187039074
137.0,0.09290336477797453
138.0,0.10950867277872824
139.0,0.034264828822018784
140.0,0.15343878086366355
141.0,0.03299877133313319
142.0,0.1396318256790846
143.0,0.4038128470524968
144.0,0.0960444223041871
145.0,0.183227002096586
146.0,0.10959021832734289
147.0,0.06771740012068903
148.0,0.24625447949714216
149.0,0.04088484930607088
150.0,0.11949889351634757
151.0,0.08435673522579193
152.0,0.060562103746244586
153.0,0.09405134415525095
154.0,0.2529872961857817
155.0,0.20631028828565884
156.0,0.085981055862947
157.0,0.22668517656994905
158.0,0.07997850070524982
159.0,0.05946207652658772
160.0,0.11554582683550703
161.0,0.10056946331476542
162.0,0.10503830294833781
163.0,0.015670803059727144
164.0,0.1370023946039753
165.0,0.10022511554588782
166.0,0.093015443646251
167.0,0.19001849372350005
168.0,0.15913819543692037
169.0,0.08671512963150786
170.0,0.3085286539610034
171.0,0.20986893725260597
172.0,0.31454781168541107
173.0,0.38952324533521765
174.0,0.03262235940722971
175.0,0.26318883691468836
176.0,0.2761439806219856
177.0,0.2230946315664145
178.0,0.0689830007657749
179.0,0.09952730677283271
180.0,0.1895720016023979
181.0,0.30471674131695947
182.0,0.0937347933683961
183.0,0.2992847355549467
184.0,0.14103544204992444
185.0,0.05164636147370519
186.0,0.24548122096909614
187.0,0.12846066823673274
188.0,0.28779238813194025
189.0,0.021076254423424815
190.0,0.3088447611287772
191.0,0.11015401061861181
192.0,0.31644551374865204
193.0,0.1952822542473039
194.0,0.11644793804042174
195.0,0.40569736622400077
196.0,0.0582236550605532
197.0,0.44231973377218065
198.0,0.057199072413416666
199.0,0.12614213461358287
200.0,0.3713895910571785
201.0,0.16921600131340883
202.0,0.1394976502232883
203.0,0.25473563325515763
204.0,0.2284844982806566
205.0,0.2757929166240869
206.0,0.031002796629954907
207.0,0.1784011617189367
208.0,0.2052614058146805
209.0,0.17814523729438028
210.0,0.18050976018200166
211.0,0.12625688264263513
212.0,0.24430470615299998
213.0,0.06086203168187128
214.0,0.2366083130440411
215.0,0.15027374380666225
216.0,0.14683246270634576
217.0,0.0833683921100642
218.0,0.4174887564875439
219.0,0.21478153019159454
220.0,0.14311249421186673
221.0,0.24656811447730068
222.0,0.21484636684045974
223.0,0.12094649954888116
224.0,0.06679688439430195
225.0,0.10624419171862602
226.0,0.11967458669047974
227.0,0.25066789368040343
228.0,0.15778272920880138
229.0,0.12529721165425692
230.0,0.028234970267528303
231.0,0.2013600863501171
232.0,0.11930637392714602
233.0,0.1527713229238919
234.0,0.35354467859602057
235.0,0.22738260440597788
236.0,0.12262056234047139
237.0,0.3317537985750005
238.0,0.14880045919461302
239.0,0.20791375313998794
240.0,0.10262890858706095
241.0,0.055477456638268655
242.0,0.17791803613733453
243.0,0.15081598371262425
244.0,0.02313158081563399
245.0,0.2682439384193259
246.0,0.1829784353227498
247.0,0.22781162347399642
248.0,0.22625766855898266
249.0,0.09573767781790152
250.0,0.20938537888934
251.0,0.1287334871485519
252.0,0.16481583567429417
253.0,0.2689863765984103
254.0,0.19646972420902378
255.0,0.18989347897911796
256.0,0.20828994174039056
257.0,0.1968071029461326
258.0,0.07710701750524608
259.0,0.23254256496452255
260.0,0.10618416339707243
261.0,0.15213755933768394
262.0,0.2163905304713541
263.0,0.3756224366378412
264.0,0.1371124386660907
265.0,0.2691009650027911
266.0,0.06066855977948533
267.0,0.27883466231539894
268.0,0.2964848941243763
269.0,0.34585191168597545
270.0,0.29183035641840543
271.0,0.1751902045505154
272.0,0.10617442406779537
273.0,0.13699388117100217
274.0,0.11651982305166987
275.0,0.16434848277941386
276.0,0.18345378930289435
277.0,0.063105143660877
278.0,0.16057343928914194
279.0,0.14978185010808084
280.0,0.2475234158287623
281.0,0.2486433937843288
282.0,0.17026107755343892
283.0,0.29938417536701484
284.0,0.09141859460831783
285.0,0.10189314890758258
286.0,0.21581782855807596
287.0,0.25120623053759494
288.0,0.3497272417246803
289.0,0.033556984792312256
290.0,0.038146069944367034
291.0,0.13006321396339882
292.0,0.3325867693885575
293.0,0.14295385091027663
294.0,0.050950779470859235
295.0,0.2646405749724496
296.0,0.15685162249710227
297.0,0.06581539386735585
298.0,0.09514222522215832
299.0,0.12227076952099061
300.0,0.41864304639097444
301.0,0.11321521919809464
302.0,0.07231753270915293
303.0,0.16137557922082382
304.0,0.1593433363211627
305.0,0.3512095890172869
306.0,0.09127198426537912
307.0,0.07498207053044506
308.0,0.07373480110556233
309.0,0.28841943090665356
310.0,0.10474121477458057
311.0,0.21300389465959818
312.0,0.035871935722294274
313.0,0.11282070743969337
314.0,0.20419417793455283
315.0,0.1508670261024261
316.0,0.04883845396503728
317.0,0.3786150754217263
318.0,0.2206758955120468
319.0,0.20738320160559254
320.0,0.14523034159362996
321.0,0.34595157392002707
322.0,0.16010640800656892
323.0,0.12094314493919736
324.0,0.051791511866713456
325.0,0.06425900167447304
326.0,0.17544926264105998
327.0,0.15452514647590063
328.0,0.044513652401453926
329.0,0.09258293030265678
330.0,0.37519301113877596
331.0,0.08775769286919285
332.0,0.11502094713331742
333.0,0.28413530378392143
334.0,0.22437886714183644
335.0,0.20768666380422462
336.0,0.062189236684087004
337.0,0.19208720272770863
338.0,0.026479990030986965
339.0,0.18065656777642802
340.0,0.1986733352089188
341.0,0.22953896120578107
342.0,0.40516056336445444
343.0,0.1871409513784083
344.0,0.17054978047431424
345.0,0.4367921950745678
346.0,0.16765892858755868
347.0,0.44828499325322624
348.0,0.29232163013400864
349.0,0.3528660560200873
350.0,0.06917781163675393
351.0,0.18105680294744889
352.0,0.2117402310276156
353.0,0.06981281079182634
354.0,0.06872701706701839
355.0,0.24749971401474435
356.0,0.0730735289085247
357.0,0.07837114364632325
358.0,0.042737441855378006
359.0,0.12474672406062813
360.0,0.40176627338623944
361.0,0.33118763991618705
362.0,0.33746641175914016
363.0,0.05718031942229547
364.0,0.0781293683625074
365.0,0.031332074723294474
366.0,0.36627360061219444
367.0,0.18174900311264008
368.0,0.0638156301687896
369.0,0.4106438242655096
370.0,0.06200617590677829
371.0,0.27691796310047234
372.0,0.09311540889870737
373.0,0.08282288010761577
374.0,0.13254854424358953
375.0,0.34562183664550417
376.0,0.2157262135314037
377.0,0.05815236048766828
378.0,0.17561174350643238
379.0,0.2384451042004074
380.0,0.29754207158811885
381.0,0.14383213294161237
382.0,0.1531926238351615
383.0,0.18468983963036217
384.0,0.13076553417664213
385.0,0.15322161301340803
386.0,0.19809614584938448
387.0,0.07484830499811483
388.0,0.30445176063580204
389.0,0.22588987749506323
390.0,0.18728294402638446
391.0,0.09966004441934104
392.0,0.3924175744768261
393.0,0.3184471424486627
394.0,0.07181635807961137
395.0,0.029407513975093186
396.0,0.15015368238603594
397.0,0.2400099356461753
398.0,0.21787513913622109
399.0,0.30827209278781414
400.0,0.280495644986074
401.0,0.1349176413853891
402.0,0.305670615778983
403.0,0.18399715345356588
404.0,0.06076545248777766
405.0,0.15947558283064653
406.0,0.2090505903735559
407.0,0.02140120638754483
408.0,0.22428292723950088
409.0,0.10195857827700051
410.0,0.1883016572935363
411.0,0.028046976289359423
412.0,0.1758140863930163
413.0,0.30110197730157606
414.0,0.24160601530542147
415.0,0.15484049588071783
416.0,0.322398404523221
417.0,0.25990808822587874
418.0,0.37567365211716897
419.0,0.2021825873962059
420.0,0.32854982766529306
421.0,0.08582389559751091
422.0,0.2343448293629454
423.0,0.2727015121551134
424.0,0.394890250863768
425.0,0.40728250246983194
426.0,0.2756864998038959
427.0,0.1161685438463823
428.0,0.06131850129124891
429.0,0.108112072947556
430.0,0.15425324552658762
431.0,0.34172525224278916
432.0,0.35322467833334836
433.0,0.3060446285479042
434.0,0.2809475663439503
435.0,0.12936817242796414
436.0,0.1374569564689684
437.0,0.23361438194912887
438.0,0.09929386275314019
439.0,0.2511087279897838
440.0,0.20720213778299731
441.0,0.1946180407501809
442.0,0.09394560730689255
443.0,0.16559086868630685
444.0,0.16025488144858466
445.0,0.1559558647833217
446.0,0.10371922952654541
447.0,0.08898767715496382
448.0,0.3173165054830227
449.0,0.10047310273603455
450.0,0.5242981765176759
451.0,0.15633933015307774
452.0,0.1922005496143027
453.0,0.11167319998893213
454.0,0.4115634838891668
455.0,0.16885391010349163
456.0,0.16619621393954725
457.0,0.1606915104017016
458.0,0.401062513063686
459.0,0.30019084276956937
460.0,0.21386308898380468
461.0,0.12975018516926046
462.0,0.1354548014996907
463.0,0.2334636368576863
464.0,0.2870019215312476
465.0,0.31543977603024276
466.0,0.15718426682659373
467.0,0.24739478489189828
468.0,0.28111119400333995
469.0,0.21379208359256818
470.0,0.17465101015210568
471.0,0.4296745884047829
472.0,0.05956469704197581
473.0,0.22933687104632816
474.0,0.09062083595058043
475.0,0.42678162360010186
476.0,0.2601882589880012
477.0,0.03452992544579566
478.0,0.04769235734919665
479.0,0.3790151995149593
480.0,0.26283962312870135
481.0,0.2959322522617174
482.0,0.09188029362758797
483.0,0.10652916126129656
484.0,0.21916989546179033
485.0,0.2468584096960637
486.0,0.23956256664090073
487.0,0.1284244552484154
488.0,0.24863848659572146
489.0,0.20405375961814717
490.0,0.16540604134424863
491.0,0.13004917331516147
492.0,0.04802323099777097
493.0,0.05867536598940122
494.0,0.280241036439815
495.0,0.05693928049618341
496.0,0.11341375222951217
497.0,0.34998439672943404
498.0,0.21756611851168312
499.0,0.1383606734922613
500.0,0.141702012115522
501.0,0.1321175756572843
502.0,0.18221446469229594
503.0,0.22825426121462747
504.0,0.07008421423082686
505.0,0.057924293280208386
506.0,0.20123546293752176
507.0,0.37248581611399423
508.0,0.5240376481576473
509.0,0.1693590497081331
510.0,0.3342454135957835
511.0,0.27349883641605927
512.0,0.05942422110936929
513.0,0.16839726993077306
514.0,0.10746121281865831
515.0,0.04915787014546485
516.0,0.04742045503682335
517.0,0.22221203530093522
518.0,0.29054121458415155
519.0,0.3352007362249105
520.0,0.18783174441396389
521.0,0.13145191305337295
522.0,0.19680641576110158
523.0,0.18729109648184572
524.0,0.18763027207976465
525.0,0.12850988778580474
526.0,0.11915148660684227
527.0,0.09411165603589317
528.0,0.3925112514360273
529.0,0.13289732221459696
530.0,0.25798383983011713
531.0,0.05465335083141927
532.0,0.09900891438482237
533.0,0.17892291600535806
534.0,0.5079362950771197
535.0,0.464214717982937
536.0,0.2669152805726325
537.0,0.34572163211246404
538.0,0.38010202483378164
539.0,0.3520325655443237
540.0,0.39975218954847175
541.0,0.39696336907716717
542.0,0.30047250532648684
543.0,0.31292838818401475
544.0,0.2761296078205741
545.0,0.36728210681756923
546.0,0.06205565970229364
547.0,0.15298691395405878
548.0,0.08688136705674689
549.0,0.15707890097052724
550.0,0.13017892933073322
551.0,0.1761973885601541
552.0,0.3290473892339747
553.0,0.4044475741144442
554.0,0.21496137960620937
555.0,0.17002540582671916
556.0,0.13400146450628028
557.0,0.20690133319185067
558.0,0.3125380484318149
559.0,0.22071849428811968
560.0,0.1932960440657695
561.0,0.06030598781721174
562.0,0.1583986351648427
563.0,0.14047382578083564
564.0,0.11452067835333356
565.0,0.05151296397039218
566.0,0.46803475348469775
567.0,0.2557405213292401
568.0,0.1349884570782164
569.0,0.4614579955098163
570.0,0.4253286434590992
571.0,0.1330881427219263
572.0,0.10846210175193624
573.0,0.1606704676749339
574.0,0.4391828144452963
575.0,0.3905025593352376
576.0,0.293810727048065
577.0,0.13168726031785724
578.0,0.07077417006704931
579.0,0.07874082765675167
580.0,0.33978630653869246
581.0,0.2238029503720711
582.0,0.2710605844799029
583.0,0.33097146786577325
584.0,0.3503515696586569
585.0,0.4004179221443151
586.0,0.4102154855775681
587.0,0.37068162330115284
588.0,0.2945323816573102
589.0,0.3313292469711502
590.0,0.3634479241135005
591.0,0.3256803808071925
592.0,0.3509804766384962
593.0,0.15763869152336193
594.0,0.02972774950199648
595.0,0.3024595762927565
596.0,0.26627462032707194
597.0,0.1415810875683331
598.0,0.12930777652741499
599.0,0.15841160310098834
600.0,0.22407539341813607
601.0,0.3114836473755621
602.0,0.29630878488481555
603.0,0.2002631887085486
